"dec.date","year","timeunit","lswt"
2006.44230769231,2006,23,315.001145602528
2006.46153846154,2006,24,313.603023519717
2006.48076923077,2006,25,314.678757748664
2006.5,2006,26,312.905042952895
2006.51923076923,2006,27,315.727509143424
2006.53846153846,2006,28,316.416956218746
2006.55769230769,2006,29,314.901261247484
2006.57692307692,2006,30,315.919125664635
2006.59615384615,2006,31,317.474515680321
2006.61538461538,2006,32,311.190485516067
2006.63461538462,2006,33,311.831972759097
2006.65384615385,2006,34,312.132000175327
2006.67307692308,2006,35,313.318302498061
2006.69230769231,2006,36,313.857369842148
2006.71153846154,2006,37,311.022402314943
2006.73076923077,2006,38,309.142549555703
2006.75,2006,39,304.385554230873
2006.76923076923,2006,40,304.193795137639
2006.78846153846,2006,41,305.048072372999
2006.80769230769,2006,42,301.863048538783
2006.82692307692,2006,43,302.244939302555
2006.84615384615,2006,44,299.9914164018
2006.86538461538,2006,45,298.571019281597
2006.88461538462,2006,46,302.445014562964
2006.90384615385,2006,47,294.861234271145
2006.92307692308,2006,48,295.64213249568
2006.94230769231,2006,49,293.520602212395
2006.96153846154,2006,50,294.525396786561
2006.98076923077,2006,51,294.391590404329
2007,2006,52,294.35694366983
2007.01923076923,2007,1,293.982044224991
2007.03846153846,2007,2,290.633689071329
2007.05769230769,2007,3,293.055837192416
2007.07692307692,2007,4,297.180399806389
2007.09615384615,2007,5,290.685648461101
2007.11538461538,2007,6,289.907934263424
2007.13461538462,2007,7,294.154405667504
2007.15384615385,2007,8,295.250913827384
2007.17307692308,2007,9,295.964324548248
2007.19230769231,2007,10,297.501912855717
2007.21153846154,2007,11,298.840862562791
2007.23076923077,2007,12,296.599370304405
2007.25,2007,13,300.12053692156
2007.26923076923,2007,14,303.217876323349
2007.28846153846,2007,15,303.18493981198
2007.30769230769,2007,16,305.826473323209
2007.32692307692,2007,17,308.01078851416
2007.34615384615,2007,18,304.686223277102
2007.36538461538,2007,19,305.520132249619
2007.38461538462,2007,20,310.571101106339
2007.40384615385,2007,21,309.89626189758
2007.42307692308,2007,22,311.777383922133
2007.44230769231,2007,23,309.484867087921
2007.46153846154,2007,24,315.568216497956
2007.48076923077,2007,25,310.74054155617
2007.5,2007,26,315.620108353364
2007.51923076923,2007,27,311.514067764726
2007.53846153846,2007,28,312.582773769656
2007.55769230769,2007,29,316.917673382254
2007.57692307692,2007,30,313.871804317437
2007.59615384615,2007,31,314.912203519389
2007.61538461538,2007,32,315.844030930778
2007.63461538462,2007,33,313.578666785635
2007.65384615385,2007,34,311.522716643049
2007.67307692308,2007,35,311.834206408318
2007.69230769231,2007,36,313.549558818468
2007.71153846154,2007,37,309.25133711366
2007.73076923077,2007,38,307.399582178922
2007.75,2007,39,304.304602787332
2007.76923076923,2007,40,305.663457503452
2007.78846153846,2007,41,306.090572041251
2007.80769230769,2007,42,302.966542633843
2007.82692307692,2007,43,303.777380359776
2007.84615384615,2007,44,301.714126592427
2007.86538461538,2007,45,296.543848938926
2007.88461538462,2007,46,295.552431928444
2007.90384615385,2007,47,296.497179200837
2007.92307692308,2007,48,295.027420129294
2007.94230769231,2007,49,292.378531144295
2007.96153846154,2007,50,287.463376561944
2007.98076923077,2007,51,291.375475257711
2008,2007,52,293.983631267418
2008.01923076923,2008,1,294.046873037821
2008.03846153846,2008,2,293.432280901097
2008.05769230769,2008,3,293.019631552046
2008.07692307692,2008,4,294.574148099378
2008.09615384615,2008,5,292.84769012217
2008.11538461538,2008,6,294.340674298384
2008.13461538462,2008,7,294.5159319378
2008.15384615385,2008,8,296.230307571611
2008.17307692308,2008,9,295.82943736245
2008.19230769231,2008,10,296.793101855531
2008.21153846154,2008,11,296.45837892996
2008.23076923077,2008,12,298.037396933858
2008.25,2008,13,301.247733339259
2008.26923076923,2008,14,298.964018054995
2008.28846153846,2008,15,305.296668808271
2008.30769230769,2008,16,305.523576030101
2008.32692307692,2008,17,305.947349977709
2008.34615384615,2008,18,308.026959071901
2008.36538461538,2008,19,307.455248176496
2008.38461538462,2008,20,311.105442455873
2008.40384615385,2008,21,309.784765436605
2008.42307692308,2008,22,309.624874625413
2008.44230769231,2008,23,314.247582490586
2008.46153846154,2008,24,316.110346654986
2008.48076923077,2008,25,310.951542032441
2008.5,2008,26,317.144264609912
2008.51923076923,2008,27,312.250552718695
2008.53846153846,2008,28,314.816298611679
2008.55769230769,2008,29,317.459952960509
2008.57692307692,2008,30,317.314057693166
2008.59615384615,2008,31,314.140512262421
2008.61538461538,2008,32,313.047839535639
2008.63461538462,2008,33,311.573033163773
2008.65384615385,2008,34,314.670742685977
2008.67307692308,2008,35,308.80770424451
2008.69230769231,2008,36,311.201244610821
2008.71153846154,2008,37,311.375666895848
2008.73076923077,2008,38,313.247556383126
2008.75,2008,39,307.19850721585
2008.76923076923,2008,40,303.863641728682
2008.78846153846,2008,41,305.218183653551
2008.80769230769,2008,42,304.264699015198
2008.82692307692,2008,43,304.113513588338
2008.84615384615,2008,44,301.105219808598
2008.86538461538,2008,45,296.871062883024
2008.88461538462,2008,46,297.995058678867
2008.90384615385,2008,47,295.219340855219
2008.92307692308,2008,48,296.763344061606
2008.94230769231,2008,49,295.761188108905
2008.96153846154,2008,50,293.274952640634
2008.98076923077,2008,51,294.345547733534
2009,2008,52,293.93486793983
2009.01923076923,2009,1,295.358445543387
2009.03846153846,2009,2,290.331150396534
2009.05769230769,2009,3,289.114791332877
2009.07692307692,2009,4,291.939996717388
2009.09615384615,2009,5,293.496674840152
2009.11538461538,2009,6,296.831080253087
2009.13461538462,2009,7,290.463123536167
2009.15384615385,2009,8,295.764934397386
2009.17307692308,2009,9,297.775786620878
2009.19230769231,2009,10,297.289697304254
2009.21153846154,2009,11,295.791353498129
2009.23076923077,2009,12,302.204344381846
2009.25,2009,13,300.986455317847
2009.26923076923,2009,14,303.82934662228
2009.28846153846,2009,15,304.702583356725
2009.30769230769,2009,16,303.502366910623
2009.32692307692,2009,17,305.006633982553
2009.34615384615,2009,18,308.290091350392
2009.36538461538,2009,19,304.084866996459
2009.38461538462,2009,20,312.20297030287
2009.40384615385,2009,21,312.72307804216
2009.42307692308,2009,22,311.125478578994
2009.44230769231,2009,23,315.007266390838
2009.46153846154,2009,24,312.547817558795
2009.48076923077,2009,25,316.599090955334
2009.5,2009,26,314.181438390208
2009.51923076923,2009,27,313.014753901886
2009.53846153846,2009,28,313.05255859575
2009.55769230769,2009,29,314.216794845364
2009.57692307692,2009,30,316.972485181989
2009.59615384615,2009,31,311.811211673398
2009.61538461538,2009,32,312.656951079107
2009.63461538462,2009,33,313.751704699618
2009.65384615385,2009,34,313.255593524164
2009.67307692308,2009,35,312.846680830297
2009.69230769231,2009,36,307.886151146483
2009.71153846154,2009,37,308.479898855708
2009.73076923077,2009,38,305.750081922658
2009.75,2009,39,306.821335362624
2009.76923076923,2009,40,304.697974944877
2009.78846153846,2009,41,302.127916743906
2009.80769230769,2009,42,304.63672648842
2009.82692307692,2009,43,301.61990196801
2009.84615384615,2009,44,302.716000556897
2009.86538461538,2009,45,300.677850910335
2009.88461538462,2009,46,296.836694143628
2009.90384615385,2009,47,298.447610253551
2009.92307692308,2009,48,293.705226052319
2009.94230769231,2009,49,293.633419359223
2009.96153846154,2009,50,294.63107552102
2009.98076923077,2009,51,293.135078611873
2010,2009,52,289.178966532413
2010.01923076923,2010,1,295.508881612816
2010.03846153846,2010,2,289.732908048851
2010.05769230769,2010,3,292.919975153633
2010.07692307692,2010,4,291.350626655066
2010.09615384615,2010,5,291.868023661507
2010.11538461538,2010,6,291.535818261256
2010.13461538462,2010,7,295.543721624961
2010.15384615385,2010,8,293.425752380482
2010.17307692308,2010,9,295.428927799197
2010.19230769231,2010,10,298.072415200196
2010.21153846154,2010,11,300.811322636194
2010.23076923077,2010,12,299.641790388242
2010.25,2010,13,302.189833367291
2010.26923076923,2010,14,305.550956409745
2010.28846153846,2010,15,300.632779800164
2010.30769230769,2010,16,308.142197161379
2010.32692307692,2010,17,302.915166252868
2010.34615384615,2010,18,304.134178465642
2010.36538461538,2010,19,308.553774833891
2010.38461538462,2010,20,310.933623839878
2010.40384615385,2010,21,306.515688198676
2010.42307692308,2010,22,311.541942117139
2010.44230769231,2010,23,310.443420359879
2010.46153846154,2010,24,312.210691755285
2010.48076923077,2010,25,312.726492973342
2010.5,2010,26,314.38106623469
2010.51923076923,2010,27,313.248693208327
2010.53846153846,2010,28,317.402234286211
2010.55769230769,2010,29,314.563629001688
2010.57692307692,2010,30,318.084244100363
2010.59615384615,2010,31,314.250942942607
2010.61538461538,2010,32,315.016255643283
2010.63461538462,2010,33,310.714322701296
2010.65384615385,2010,34,311.522924189694
2010.67307692308,2010,35,311.320875024905
2010.69230769231,2010,36,310.867880388034
2010.71153846154,2010,37,309.14525149986
2010.73076923077,2010,38,308.45071705067
2010.75,2010,39,308.797721704356
2010.76923076923,2010,40,309.503170680506
2010.78846153846,2010,41,301.523373834506
2010.80769230769,2010,42,301.568752034869
2010.82692307692,2010,43,303.953010329358
2010.84615384615,2010,44,301.301664853198
2010.86538461538,2010,45,301.100567554518
2010.88461538462,2010,46,299.318471533479
2010.90384615385,2010,47,298.327446463401
2010.92307692308,2010,48,294.738661740708
2010.94230769231,2010,49,297.728943752528
2010.96153846154,2010,50,297.459014487314
2010.98076923077,2010,51,293.058423965447
2011,2010,52,293.732398458811
2011.01923076923,2011,1,289.442137058656
2011.03846153846,2011,2,290.914612362241
2011.05769230769,2011,3,290.376871682616
2011.07692307692,2011,4,294.97847681775
2011.09615384615,2011,5,289.444378223684
2011.11538461538,2011,6,290.496669922934
2011.13461538462,2011,7,292.021835919037
2011.15384615385,2011,8,295.585166571108
2011.17307692308,2011,9,296.833787134643
2011.19230769231,2011,10,296.157706252322
2011.21153846154,2011,11,296.154892106769
2011.23076923077,2011,12,300.216001530319
2011.25,2011,13,302.298154415782
2011.26923076923,2011,14,303.207068740029
2011.28846153846,2011,15,302.900546485563
2011.30769230769,2011,16,303.695909482723
2011.32692307692,2011,17,307.036104569322
2011.34615384615,2011,18,306.78944879287
2011.36538461538,2011,19,309.780464212577
2011.38461538462,2011,20,305.250695254999
2011.40384615385,2011,21,310.952388406663
2011.42307692308,2011,22,313.013382051229
2011.44230769231,2011,23,311.104309610924
2011.46153846154,2011,24,312.440508545901
2011.48076923077,2011,25,313.47478142834
2011.5,2011,26,313.675865205097
2011.51923076923,2011,27,317.80634965375
2011.53846153846,2011,28,315.515238362757
2011.55769230769,2011,29,315.732842354359
2011.57692307692,2011,30,316.642096263193
2011.59615384615,2011,31,312.470652371833
2011.61538461538,2011,32,313.045196924966
2011.63461538462,2011,33,312.239916692816
2011.65384615385,2011,34,312.759033995979
2011.67307692308,2011,35,311.790080016727
2011.69230769231,2011,36,311.02064351694
2011.71153846154,2011,37,308.396332004759
2011.73076923077,2011,38,310.01450393264
2011.75,2011,39,305.746514595255
2011.76923076923,2011,40,307.250279627324
2011.78846153846,2011,41,304.761065148891
2011.80769230769,2011,42,299.836227543271
2011.82692307692,2011,43,301.72175214482
2011.84615384615,2011,44,300.227754789521
2011.86538461538,2011,45,299.206715986407
2011.88461538462,2011,46,297.247281812295
2011.90384615385,2011,47,295.770178038891
2011.92307692308,2011,48,295.558654827927
2011.94230769231,2011,49,295.852816797391
2011.96153846154,2011,50,293.389207319711
2011.98076923077,2011,51,292.158277169423
2012,2011,52,293.384125249915
2012.01923076923,2012,1,291.894318516255
2012.03846153846,2012,2,293.674179823551
2012.05769230769,2012,3,292.62023224946
2012.07692307692,2012,4,291.10684623088
2012.09615384615,2012,5,291.884498652457
2012.11538461538,2012,6,291.29648558938
2012.13461538462,2012,7,291.504603550705
2012.15384615385,2012,8,295.300492021732
2012.17307692308,2012,9,293.723979777813
2012.19230769231,2012,10,299.00061301162
2012.21153846154,2012,11,299.394492157836
2012.23076923077,2012,12,296.857836987249
2012.25,2012,13,297.82652934722
2012.26923076923,2012,14,300.221818011156
2012.28846153846,2012,15,304.491951600896
2012.30769230769,2012,16,303.304275379275
2012.32692307692,2012,17,305.306779422485
2012.34615384615,2012,18,308.428661248349
2012.36538461538,2012,19,312.559420829132
2012.38461538462,2012,20,311.899266170198
2012.40384615385,2012,21,311.424411717235
2012.42307692308,2012,22,309.251921040462
